Title,Price,Location,URL
3bdrm Duplex in Ikeja for sale,"₦ 155,000,000",Ikeja,N/A
3bdrm Block of Flats in Lekki Phase 1 Lagos for sale,"₦ 3,800,000,000","Lekki, Lekki Phase 1",N/A
"4bdrm Duplex in A Well Secured, Ado / Ajah for sale","₦ 150,000,000","Ajah, Ado / Ajah",N/A
5bdrm Duplex in Banana Island Ikoyi for sale,"₦ 6,000,000,000","Ikoyi, Banana Island",N/A
4bdrm Duplex in Lekki Palm City for sale,"₦ 155,000,000",Lekki,N/A
3bdrm Apartment in Eko Atlantic for sale,"₦ 1,600,000,000",Eko Atlantic,N/A
"5bdrm Duplex in Gated, Osapa london for sale","₦ 23,000,000,000","Lekki, Osapa london",N/A
5bdrm Duplex in Chevron for sale,"₦ 450,000,000","Lekki, Chevron",N/A
"5bdrm Duplex in A Well Secured, Lekki Phase 2 for sale","₦ 330,000,000","Lekki, Lekki Phase 2",N/A
"4bdrm Duplex in A Well Secured, Ado / Ajah for sale","₦ 165,000,000","Ajah, Ado / Ajah",N/A
3bdrm Bungalow in Alagbado Lagos State for sale,"₦ 35,000,000","Ifako-Ijaiye, Alagbado",N/A
2bdrm Block of Flats in Sangotedo for sale,"₦ 35,000,000","Ajah, Sangotedo",N/A
4bdrm Duplex in Omole Phase 1 for sale,"₦ 500,000,000","Ikeja, Omole Phase 1",N/A
"3bdrm Bungalow in Victoria Island, Ademola Adetokunbo for sale","₦ 1,400,000,000","Victoria Island, Ademola Adetokunbo",N/A
Furnished 4bdrm Duplex in Lekki for sale,"₦ 600,000,000",Lekki,N/A
6bdrm Duplex in Chevron for sale,"₦ 750,000,000","Lekki, Chevron",N/A
"Furnished 5bdrm Duplex in Diamond Estate, Ipaja / Ipaja for sale","₦ 350,000,000","Ipaja, Ipaja / Ipaja",N/A
1bdrm Block of Flats in So Easy Ayobo Lagos for sale,"₦ 9,000,000","Ipaja, Ayobo",N/A
Furnished 5bdrm Duplex in Lagos Island (Eko) for sale,"₦ 750,000,000",Lagos Island (Eko),N/A
6bdrm Apartment in Ikorodu for sale,"₦ 17,000,000",Ikorodu,N/A
"2bdrm Block of Flats in Victoria Island,, Adeola Odeku for sale","₦ 600,000,000","Victoria Island, Adeola Odeku",N/A
4bdrm Duplex in Omole Gra Ph 1 Ikeja for sale,"₦ 300,000,000","Ikeja, Omole Phase 1",N/A
"3bdrm Apartment in Awuse, Opebi for sale","₦ 180,000,000","Ikeja, Opebi",N/A
"5bdrm Duplex in Ayaya Court, Mende for sale","₦ 600,000,000","Maryland, Mende",N/A
