Title,Bedrooms,Bathrooms,cleaned_price,Full_Location,lat,lon,dist_to_lekki,dist_to_ikeja,Location,Is_Island,Prop_Type,Has_Pool,Has_BQ,New_Build,Bathroom_per_Bedroom,In_Estate,Neighborhood_Tier,Island_x_Beds,Luxury_Score
2 Bedroom Apartment,2,0,250000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,0.0,0,4,2,0
5 Bedroom Detached Duplex With Bq,5,5,680000000.0,2nd Toll Gate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0
5 Bedroom Detached Duplex,5,5,600000000.0,"Lekki County, Megamound Estate Ikota Lekki Lagos",6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
5 Bedroom Detached Duplex With Bq,5,5,300000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,1,0,1.0,0,4,5,0
Brand New 5 Bedroom Detached Duplex,5,5,1000000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,5,1
4 Bedroom Semi Detached Duplex,4,4,260000000.0,2nd Toll Gate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0
Stunning 4 Bedroom Semi Detached Duplex,4,4,145000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,4,0
4 Bedroom Semi Detached Duplex,4,4,250000000.0,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0
4 Bedroom Detached Duplex,4,4,240000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0
4 Bedroom Detached Duplex,4,4,220000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,4,0
3 Bedroom Terrace Duplex,3,4,85000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Terrace,0,0,0,1.3333333333333333,0,4,3,0
5 Bedroom Detached Duplex,5,5,850000000.0,Pinnock Beach Estate Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
Brand New 4 Bedroom Detached Duplex,4,4,240000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,4,1
5 Bedroom Detached Duplex,5,5,385000000.0,2nd Toll Gate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
Brand New 5 Bedroom Detached Duplex,5,5,460000000.0,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,5,1
5 Bedroom Detached Duplex,5,5,350000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
5 Bedroom Detached Duplex,5,5,250000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,5,0
Brand New 5 Bedroom Detached Duplex,5,5,1400000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,5,1
5 Bedroom Detached Duplex,5,5,190000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,5,0
Contemporary 5 Bedroom Detached Duplex,5,5,450000000.0,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
Tastefully Built 5 Bedroom Detached Duplex,5,5,290000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,5,0
3 Bedroom Terrace Duplex,3,3,140000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,0,0,1.0,0,4,3,0
Contemporary 5 Bedroom Detached Duplex,5,5,800000000.0,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
5 Bedroom Detached Duplex,5,5,600000000.0,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
Brand New 5 Bedroom Detached Duplex,5,5,1500000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,5,1
Brand New 4 Bedroom Semi Detached Duplex,4,4,190000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,4,1
4 Bedroom Semi Detached Duplex,4,4,150000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,4,0
Brand New 5 Bedroom Detached Duplex,5,5,390000000.0,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,5,1
5 Bedroom Detached Duplex,5,5,900000000.0,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
4 Bedroom Detached Duplex,4,4,470000000.0,2nd Toll Gate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0
Brand New Smart Home With Parking For 10 Cars In Omole,5,6,600000000.0,Omole Phase 1 Ikeja Lagos Ikeja Lagos,6.5974727,3.3432815,21.044803340125824,1.0271477798224158,Ikeja,0,Other,0,0,1,1.2,0,5,0,1
Newly Built 5 Bedroom Fully Detached Duplex,5,6,420000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.2,0,4,5,1
Brand New 4 Bedroom Semi Detached Duplex,4,4,135000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,1,1.0,0,4,4,1
5 Bedroom Detached Duplex,5,5,450000000.0,2nd Toll Gate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
Newly Built 4 Bedroom Detached Duplex,4,4,120000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,1,1.0,0,4,4,1
5 Bedroom Detached Duplex,5,5,650000000.0,Royal Garden Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
Brand New 4 Bedroom Semi Detached Duplex,4,4,140000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,1,1.0,0,4,4,1
2 Bedroom Apartment,2,2,300000000.0,Victoria Island Lagos,6.4300279,3.4259904,4.5315928067815925,20.705813048742378,Victoria Island,1,Flat,0,0,0,1.0,0,5,2,0
Brand New 4 Bedroom Semi Detached Duplex,4,4,250000000.0,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,4,1
3 Bedroom Apartment,3,3,450000000.0,Oniru Victoria Island Lagos,6.4300279,3.4259904,4.5315928067815925,20.705813048742378,Victoria Island,1,Flat,0,0,0,1.0,0,5,3,0
4 Bedroom Semi Detached Duplex,4,4,140000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,4,0
2 Bedroom Apartments,2,3,250000000.0,Durosimi Etti Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.5,0,4,2,0
Brand New 4 Bedroom Terrace Duplex,4,4,130000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,0,1,1.0,0,4,4,1
5 Bedroom Detached Duplex,5,5,300000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,5,0
3 Bedroom Apartment,3,3,110000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Flat,0,0,0,1.0,0,4,3,0
Brand New 3 Bedroom Terrace Duplex,3,3,85000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Terrace,0,0,1,1.0,0,4,3,1
Stunning 5 Bedroom Detached Duplex,5,5,250000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,5,0
5 Bedroom Detached Duplex,5,5,420000000.0,2nd Toll Gate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
2 Bedroom Apartment,2,2,450000000.0,Victoria Island Lagos,6.4300279,3.4259904,4.5315928067815925,20.705813048742378,Victoria Island,1,Flat,0,0,0,1.0,0,5,2,0
Luxury 5 Bedroom Fully Detached Duplex With 2 Bq,5,5,6000000000.0,Banana Island Ikoyi Lagos,6.4600581,3.4593152,1.2666850782568917,19.69523211516851,Banana Island,1,Detached Duplex,0,1,0,1.0,0,5,5,0
Brand New 4 Bedroom Detached Duplex,4,4,180000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,1,1.0,0,4,4,1
6 Bedroom Detached Duplex,6,6,600000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,6,0
5 Bedroom Detached Duplex,5,5,680000000.0,2nd Toll Gate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
Brand New 5 Bedroom Detached Duplex,5,5,240000000.0,Sangotedo Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,1,1.0,0,4,5,1
4 Bedroom Semi Detached Duplex With Bq,4,4,180000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,4,0
Brand New 3 Bedroom Semi Detached Duplex,3,3,150000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,3,1
4 Bedroom Semi Detached Duplex,4,4,200000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0
2 Bedroom Terrace Duplex,2,2,100000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Terrace,0,0,0,1.0,0,4,2,0
3 Bedroom Apartment,3,3,600000000.0,Victoria Island Lagos,6.4300279,3.4259904,4.5315928067815925,20.705813048742378,Victoria Island,1,Flat,0,0,0,1.0,0,5,3,0
5 Bedroom Detached Duplex,5,5,1550000000.0,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
Beautiful Luxury 2 Bedroom Apartment With Gym,2,2,250000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,2,0
Brand New 5 Bedroom Detached Duplex,5,5,430000000.0,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,5,1
4 Bedroom Semi Detached Duplex,4,4,145000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,4,0
Brand New 3 Bedroom Terrace Duplex,3,3,120000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,0,1,1.0,0,4,3,1
4 Bedroom Fully Detached Duplex With Bq,4,4,220000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,1,0,1.0,0,4,4,0
5 Bedroom Semi Detached Duplex,5,5,180000000.0,2nd Toll Gate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
4 Bedroom Semi Detached Duplex,4,4,180000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,4,0
Brand New 5 Bedroom Detached Duplex,5,5,550000000.0,Chevron Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,1,1.0,0,4,5,1
Brand New 5 Bedroom Detached Duplex,5,5,280000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,1,1.0,0,4,5,1
4 Bedroom Semi Detached Duplex With Bq,4,4,160000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,1,0,1.0,0,4,4,0
5 Bedroom Detached Duplex,5,5,1200000000.0,Royal Garden Awoyaya Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,5,0
5 Bedroom Detached Duplex,5,5,280000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,5,0
Newly Built 4 Bedroom Detached Duplex With Bq,4,4,180000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,1,1,1.0,0,4,4,1
3 Bedroom Apartment,3,3,350000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,3,0
4 Bedroom Detached Duplex,4,4,175000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,0,0,1.0,0,4,4,0
Well Furnished 4 Bedroom Detached Bungalow,4,0,130000000.0,"Ikosi, Close To Magodo Shangisha. Lagos Ketu Lagos",6.6180809,3.3777821,20.90484087396468,3.4188985746987233,Magodo,0,Detached Duplex,0,0,0,0.0,0,4,0,0
Luxury 4 Bedroom Terraced Duplex With Bq,4,4,400000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,1,0,1.0,0,4,4,0
Newly Built Multi Purpose Block Of Flats,2,0,60000000.0,"Shagari Estate; Mosan, Ipaja Lagos",6.6072725,3.2842771,26.344770640138858,7.458481118377319,Ipaja,0,Flat,0,0,1,0.0,0,2,0,1
4 Bedroom Terrace Duplex With Bq,4,4,150000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,1,0,1.0,0,4,4,0
Contemporary 5 Bedroom Detached Duplex With Lounge,5,5,1500000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
4 Bedroom Detached Duplex With Bq,4,4,230000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,1,0,1.0,0,4,4,0
3 Bedroom Flat,3,3,60000000.0,Banana Island Ikoyi Lagos,6.4600581,3.4593152,1.2666850782568917,19.69523211516851,Banana Island,1,Flat,0,0,0,1.0,0,5,3,0
State Of The Art 2 Bedroom Apartment With Pool,2,2,305000000.0,Oniru Victoria Island Lagos,6.4300279,3.4259904,4.5315928067815925,20.705813048742378,Victoria Island,1,Flat,1,0,0,1.0,0,5,2,1
5 Bedroom Detached Duplex With Bq,5,5,370000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0
T 5 Bedroom Detached Duplex With Bq,5,5,850000000.0,Vgc Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0
Newly Built 4 Bedroom Semi Detached Duplex With Bq,4,4,250000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,1,1.0,0,4,4,1
Newly Built 2 Bedroom Apartment,2,2,290000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,1,1.0,0,4,2,1
2 Bedroom Apartment With Lounge,2,2,280000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,2,0
1 Bedroom Apartment,1,1,65000000.0,Surulere Lagos,6.4855737,3.3539907,12.645023012159905,12.856266720612215,Surulere,0,Flat,0,0,0,1.0,0,4,0,0
2 Bedroom Apartment With Pool,2,2,280000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,1,0,0,1.0,0,4,2,1
Luxurious 4 Bedroom Semi Detached Duplex With Bq,4,4,200000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,4,0
Luxury 5 Bedroom Detached Duplex With Bq,5,5,275000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,1,0,1.0,0,4,5,0
