Title,Location,Price,Bedrooms,Bathrooms,URL
2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,"₦ 250,000,000",2,0,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-7NBKU
"Promo Sales On Landview City Eleko, Lagos","Amen Estate 1 & 2, Jenifa Gardens Eleko Ibeju Lekki Lagos","₦ 45,000,000",0,0,https://propertypro.ng/property/land-for-sale-amen-estate-1-2-jenifa-gardens-eleko-ibeju-lekki-lagos-7NYNF
5 Bedroom Detached Duplex With Bq,2nd Toll Gate Lekki Lagos,"₦ 680,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-2nd-toll-gate-lekki-lagos-8NVBR
5 Bedroom Detached Duplex,"Lekki County, Megamound Estate Ikota Lekki Lagos","₦ 600,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-county-megamound-estate-ikota-lekki-lagos-1NVDD
5 Bedroom Detached Duplex With Bq,Ajah Lagos,"₦ 300,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-5NVHA
Brand New 5 Bedroom Detached Duplex,Lekki Phase 1 Lekki Lagos,"₦ 1,000,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-4NUKR
4 Bedroom Semi Detached Duplex,2nd Toll Gate Lekki Lagos,"₦ 260,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-2nd-toll-gate-lekki-lagos-5NVEL
Stunning 4 Bedroom Semi Detached Duplex,Ajah Lagos,"₦ 145,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-1NUWF
4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos,"₦ 250,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-chevron-lekki-lagos-2NUYC
4 Bedroom Detached Duplex,Orchid Lekki Lagos,"₦ 240,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-1NUXH
2 Bedroom Maisonette,Alex Ibru Street Guzape Abuja,"₦ 150,000,000",2,2,https://propertypro.ng/property/2-bedroom-house-for-sale-alex-ibru-street-guzape-abuja-6NQHL
4 Bedroom Detached Duplex,Ajah Lagos,"₦ 220,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-6NVHA
3 Bedroom Terrace Duplex,Ajah Lagos,"₦ 85,000,000",3,4,https://propertypro.ng/property/3-bedroom-house-for-sale-ajah-lagos-5NUXK
5 Bedroom Detached Duplex,Pinnock Beach Estate Osapa London Lekki Lagos,"₦ 850,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-pinnock-beach-estate-osapa-london-lekki-lagos-6NVDS
Brand New 4 Bedroom Detached Duplex,Orchid Lekki Lagos,"₦ 240,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-9NVBK
5 Bedroom Detached Duplex,2nd Toll Gate Lekki Lagos,"₦ 385,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-2nd-toll-gate-lekki-lagos-2NVEL
Brand New 5 Bedroom Detached Duplex,Chevron Lekki Lagos,"₦ 460,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-chevron-lekki-lagos-3NUYA
5 Bedroom Detached Duplex,Orchid Lekki Lagos,"₦ 350,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-3NUXH
5 Bedroom Detached Duplex,Ajah Lagos,"₦ 250,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-4NVHA
